,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
Currency,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-16,1.0911,68.875,6.8268,7.75,,46.225,90.92,1167.1,114.815,1427.5,3.3715,1.3491,46.99,83.1,1.3922,33.42,32.315,17900.0,1.0959999999999999,68.875,6.827999999999999,7.7507,,46.385,91.32,1172.1,114.835,1439.5,3.3785,1.3607,46.99,83.39,1.3986,33.485,32.315,17952.0,1.0783,68.75,6.8248,7.7494,,45.835,90.58,1158.8,114.6,1412.5,3.3545,1.3317,46.15,82.65,1.3876,33.36,32.155,17800.0,1.0859,68.75,6.8269,7.7495,,45.925,90.82,1162.0,114.78,1436.5,3.3565,1.3426,46.26,82.9,1.3893,33.47,32.245,17843.0
2009-10-19,1.0769,69.0,6.8268,7.7501,,46.02,90.75,1168.07,114.805,1432.5,3.3745,1.3224,46.675,83.275,1.3898,33.37,32.32,17905.0,1.0974,69.35,6.827999999999999,7.7508,,46.15,91.06,1180.28,114.835,1440.5,3.3915,1.3572,47.105,83.695,1.399,33.5,32.41,17951.0,1.0756,68.75,6.8256,7.7495,,46.02,90.37,1166.47,114.75,1412.5,3.3715,1.3189,46.55,82.9,1.3886,33.33,32.24,17800.0,1.093,68.75,6.8257,7.7495,,46.15,90.92,1170.28,114.78,1412.5,3.3715,1.3534,46.98,83.0,1.3940000000000001,33.425,32.28,17842.0
2009-10-20,1.0823,69.0,6.8266,7.75,,46.265,90.81,1164.72,114.8,1437.5,3.3645,1.3337,46.685,83.175,1.395,33.43,32.27,17905.0,1.0893,69.37,6.827999999999999,7.7507,,46.265,91.07,1173.7,114.82,1441.5,3.3725,1.344,46.975,83.875,1.3969999999999998,33.44,32.355,17953.0,1.0738,68.75,6.8259,7.7495,,45.855,90.08,1164.72,114.6,1417.5,3.3535,1.3196,46.42,82.7,1.3873,33.325,32.205,17805.0,1.0761,68.75,6.8278,7.7496,,45.925,90.74,1172.07,114.78,1432.5,3.3725,1.3207,46.5,82.9,1.39,33.37,32.305,17844.0
2009-10-21,1.0785,69.225,6.8274,7.7501,,46.345,90.86,1177.4,114.81,1437.5,3.3775,1.3177,46.6,83.05,1.3909,33.4,32.35,17905.0,1.0877,69.265,6.8281,7.7506,,46.595,91.28,1184.4,114.83,1441.5,3.3975,1.3401,47.26,83.65,1.3976,33.52,32.415,17954.0,1.0718,68.75,6.8258,7.7495,,46.105,90.49,1175.2,114.7,1422.5,3.3715,1.3094,46.5,82.55,1.3885,33.395,32.255,17805.0,1.083,69.05,6.8258,7.7495,,46.155,90.81,1160.22,114.78,1440.5,3.3715,1.3337,46.9,82.75,1.395,33.43,32.365,17845.0
2009-10-22,1.0791,68.625,6.829,7.7501,,46.565,91.43,1189.5,114.81,1434.5,3.3985,1.3215,47.43,83.2,1.3925,33.42,32.46,17930.0,1.0886,69.225,6.8297,7.7505,,46.845,91.71,1194.4,114.83,1441.5,3.4085,1.3336,47.45,83.52,1.3998,33.5,32.51,17961.0,1.0752,68.5,6.8257,7.7495,,46.195,90.86,1177.7,114.7,1417.5,3.3675,1.3141,46.78,82.75,1.39,33.34,32.26,17825.0,1.0799,69.1,6.8276,7.7495,,46.275,90.86,1177.9,114.8,1437.5,3.3725,1.3189,46.85,82.95,1.3909,33.4,32.37,17847.0
2009-10-23,1.0842,68.625,6.8285,7.7499,,46.5,92.06,1189.15,114.8,1427.5,3.3825,1.3254,46.875,83.2,1.3951,33.45,32.39,17915.0,1.0872,68.875,6.8297,7.7504,,46.605,92.12,1192.15,114.87,1439.5,3.3955,1.3292,47.325,83.46,1.3951,33.46,32.455,17955.0,1.0754,68.5,6.8265,7.749,,46.36,91.36,1176.95,114.75,1412.5,3.375,1.3154,46.8,82.9,1.3908,33.405,32.295,17815.0,1.0798,68.5,6.8297,7.7495,,46.42,91.43,1188.15,114.82,1433.0,3.3925,1.3203,47.06,83.1,1.3925,33.42,32.315,17851.0
2009-10-26,1.0909,68.725,6.8277,7.7501,,46.575,92.22,1180.9,114.825,1427.5,3.3795,1.3376,46.98,83.35,1.3997,33.46,32.485,17925.0,1.0958,69.175,6.8286,7.7505,,46.705,92.29,1186.65,114.845,1432.5,3.3885,1.3425,47.13,83.46,1.4,33.48,32.485,17954.0,1.0776,68.6,6.8266,7.7495,,46.365,91.58,1173.1,114.75,1412.5,3.3715,1.3205,46.8,82.8,1.3915,33.385,32.265,17815.0,1.0861,69.05,6.8274,7.7498,,46.425,92.11,1186.65,114.82,1427.5,3.3835,1.3271,46.99,83.0,1.3958,33.44,32.365,17850.0
2009-10-27,1.0916,68.725,6.8294,7.7501,,46.945,91.67,1190.5,114.835,1427.5,3.4025,1.3451,47.32,83.3,1.3975,33.43,32.445,17935.0,1.0966,69.175,6.8352,7.7507,,47.02,92.32,1190.5,114.835,1431.5,3.408,1.3489,47.39,83.46,1.4008,33.48,32.575,17956.0,1.0844,68.6,6.8272,7.7495,,46.465,91.61,1179.9,114.75,1412.5,3.3855,1.3294,46.9,82.97,1.3959,33.42,32.365,17825.0,1.0909,69.05,6.8281,7.7498,,46.645,92.21,1180.4,114.78,1426.5,3.3855,1.3376,46.96,83.28,1.3998,33.46,32.485,17848.0
2009-10-28,1.1138,68.875,6.8282,7.7502,,47.175,90.61,1185.65,114.81,1427.5,3.4219999999999997,1.3878,47.9,83.35,1.4048,33.47,32.555,17940.0,1.1159999999999999,68.875,6.8308,7.7507,,47.395,91.72,1196.35,114.82,1429.5,3.427,1.3901,47.9,83.67,1.4048,33.475,32.565,17957.0,1.0857,68.2,6.8279,7.7495,,46.745,90.55,1185.65,114.75,1407.5,3.397,1.3389,47.15,83.08,1.3971,33.42,32.435,17835.0,1.0906,68.6,6.8297,7.7499,,46.945,91.67,1189.75,114.78,1427.5,3.406,1.3437,47.2,83.2,1.3975,33.43,32.445,17847.0
2009-10-29,1.0919,68.775,6.827999999999999,7.7504,,46.78,91.51,1185.7,114.815,1427.5,3.425,1.3638,47.805,83.45,1.3968,33.45,32.45,17940.0,1.1184,69.175,6.8317,7.7508,,47.635,91.62,1206.0,114.855,1427.5,3.4475,1.3962,47.815,83.88,1.4058,33.56,32.65,17957.0,1.0889,68.65,6.8279,7.7495,,46.75,90.25,1185.15,114.75,1407.5,3.4225,1.3563,47.34,83.22,1.3962,33.43,32.45,17840.0,1.1121,68.75,6.8286,7.7499,,47.07,90.63,1185.15,114.78,1423.0,3.4275,1.3848,47.7,83.25,1.4048,33.47,32.55,17849.0
2009-10-30,1.1119,68.875,6.8275,7.7501,,46.925,90.11,1186.6,114.8,1420.5,3.4125,1.3922,47.475,83.4,1.4023,33.44,32.645,17940.0,1.114,68.875,6.8306,7.7505,,47.165,91.53,1188.5,114.86,1427.5,3.4245,1.3978,48.125,83.78,1.4023,33.45,32.645,17961.0,1.0891,68.65,6.8273,7.7495,,46.675,89.93,1176.1,114.75,1402.5,3.4025,1.3628,47.4,83.1,1.3957,33.38,32.445,17835.0,1.0917,68.75,6.8282,7.7498,,46.755,91.5,1185.2,114.8,1426.5,3.4195,1.3644,47.71,83.35,1.3969,33.45,32.495,17852.0
2009-11-02,1.1076,68.875,6.8279,7.75,,46.825,90.42,1186.5,114.8,1420.5,3.4265,1.3954,47.6,83.75,1.3988,33.425,32.575,17890.0,1.1229,69.265,6.8304,7.7508,,47.005,90.69,1196.05,114.8,1426.0,3.4365,1.4119,47.81,83.9,1.4039,33.47,32.675,17910.0,1.0958,68.75,6.8277,7.7495,,46.815,89.71,1180.05,114.75,1402.5,3.4195,1.3748,47.4,83.3,1.3966,33.405,32.46,17835.0,1.1143,68.75,6.827999999999999,7.7495,,47.005,89.71,1186.65,114.75,1424.0,3.4195,1.3994,47.71,83.78,1.4039,33.42,32.53,17851.0
2009-11-03,1.1076,68.875,6.8279,7.75,,47.145,90.43,1191.6,114.815,1420.5,3.4305,1.3876,47.35,83.75,1.3997,33.44,32.535,17891.0,1.1217,69.175,6.8285,7.7507,,47.445,90.57,1191.6,114.835,1425.0,3.4315,1.4098,47.8,84.05,1.4038,33.475,32.615,17912.0,1.0995,68.65,6.8265,7.7495,,46.955,89.88,1175.5,114.75,1412.5,3.4115,1.3805,47.24,83.25,1.396,33.395,32.415,17840.0,1.1059999999999999,68.75,6.8272,7.7496,,46.955,90.42,1185.75,114.78,1425.0,3.4215,1.3912,47.24,83.65,1.3987,33.42,32.535,17853.0
2009-11-04,1.0979,68.875,6.827000000000001,7.7501,,46.91,90.7,1173.4,114.815,1420.5,3.4185,1.3758,47.45,83.45,1.3952,33.41,32.46,17885.0,1.1164,69.175,6.8289,7.7508,,47.27,91.21,1184.7,114.835,1425.5,3.4305,1.3952,47.9,83.89,1.4007,33.465,32.6,17913.0,1.0934,68.7,6.8264,7.7495,,46.91,90.05,1173.2,114.75,1412.5,3.4125,1.3671,47.24,83.25,1.3936,33.395,32.47,17835.0,1.1071,68.75,6.8276,7.75,,47.06,90.42,1191.6,114.8,1420.5,3.4285,1.3868,47.65,83.65,1.3998,33.44,32.59,17855.0
2009-11-05,1.0979999999999999,68.825,6.8276,7.7498,,46.97,90.8,1175.8,114.825,1420.5,3.4215,1.3853,47.575,83.7,1.396,33.41,32.485,17875.0,1.1082,69.265,6.8291,7.7504,,47.27,90.86,1182.8,114.845,1425.0,3.4275,1.3971,47.825,83.97,1.3984,33.43,32.575,17912.0,1.0955,68.7,6.8269,7.749,,46.74,90.01,1171.9,114.75,1420.5,3.4075,1.3780000000000001,47.24,83.27,1.3942,33.385,32.455,17825.0,1.0982,68.75,6.827000000000001,7.7499,,46.86,90.69,1175.8,114.78,1420.5,3.4115,1.3787,47.48,83.35,1.3955,33.41,32.475,17854.0
2009-11-06,1.0882,68.875,6.8274,7.7499,,46.825,89.88,1168.1,114.825,1420.5,3.4015,1.3775,47.575,83.3,1.3929,33.365,32.515,17870.0,1.1,68.875,6.8292,7.7504,,46.905,90.8,1178.5,114.825,1425.5,3.4215,1.3906,47.785,83.71,1.396,33.42,32.55,17916.0,1.0868,68.7,6.8267,7.7495,,46.745,89.63,1163.5,114.75,1420.5,3.3995,1.3732,47.17,83.12,1.3912,33.34,32.42,17820.0,1.0983,68.7,6.8277,7.7495,,46.885,90.8,1175.0,114.8,1420.5,3.4215,1.3854,47.4,83.6,1.3958,33.41,32.48,17857.0
2009-11-09,1.0755,68.875,6.827000000000001,7.75,,46.37,89.88,1155.1,114.675,1420.5,3.3805,1.3476,46.89,83.3,1.3864,33.305,32.31,17866.5,1.0876,69.275,6.8293,7.7506,,46.75,90.27,1168.5,114.775,1426.5,3.4085,1.3659,47.12,83.33,1.3927,33.37,32.53,17870.5,1.074,68.7,6.8262,7.7495,,46.32,89.74,1153.6,114.6,1420.5,3.3745,1.3459,46.82,83.1,1.3839,33.295,32.3,17850.0,1.0831,69.12,6.8276,7.7495,,46.75,89.88,1165.6,114.75,1423.5,3.4025,1.3607,47.03,83.2,1.3925,33.36,32.44,17859.0
2009-11-10,1.0748,68.875,6.8266,7.75,,46.325,89.71,1158.2,114.4,1420.5,3.385,1.3461,46.855,83.1,1.3883,33.295,32.38,17905.0,1.0806,68.875,6.8296,7.7504,,46.635,90.18,1163.3,114.6,1426.5,3.388,1.3563,47.355,83.65,1.39,33.33,32.38,17951.0,1.0723,68.7,6.8266,7.7495,,46.225,89.69,1154.9,114.35,1420.5,3.3689999999999998,1.3392,46.68,83.0,1.386,33.28,32.24,17820.0,1.0753,68.75,6.8274,7.7496,,46.475,89.86,1155.6,114.4,1420.5,3.377,1.3463,46.88,83.2,1.3862,33.3,32.361,17825.0
2009-11-11,1.075,68.875,6.8259,7.7499,,46.354,89.93,1157.0,114.475,1420.5,3.3765,1.3519999999999999,46.85,83.5,1.3873,33.295,32.385,17865.0,1.0787,69.245,6.8279,7.7503,,46.604,90.02,1162.9,114.475,1426.5,3.3915,1.3542,47.05,83.58,1.3896,33.32,32.485,17873.0,1.0697,68.75,6.8249,7.7495,,46.20399999999999,89.29,1152.3,114.4,1420.5,3.375,1.3426,46.52,82.9,1.385,33.275,32.205,17850.0,1.0743,68.75,6.8262,7.7496,,46.263999999999996,89.64,1158.2,114.45,1420.5,3.3825,1.3448,46.82,83.0,1.3882,33.3,32.315,17865.0
2009-11-12,1.0837,69.0,6.8268,7.75,,46.62,90.29,1161.0,114.46,1427.5,3.3819999999999997,1.3657,46.825,83.41,1.3902,33.32,32.35,17905.0,1.0858,69.37,6.827000000000001,7.7504,,46.7,90.61,1161.3,114.46,1428.5,3.389,1.3683,46.935,83.77,1.3908,33.325,32.415,17956.0,1.0669,68.7,6.8252,7.7495,,46.1,89.65,1154.3,114.4,1412.5,3.373,1.3430000000000002,46.48,83.12,1.3845,33.265,32.175,17820.0,1.0755,68.75,6.8252,7.7495,,46.29,89.93,1154.5,114.45,1426.0,3.3789999999999996,1.3535,46.65,83.4,1.3873,33.29,32.415,17868.0
2009-11-13,1.0714,68.825,6.8263,7.75,,46.19,89.68,1156.8,114.465,1427.5,3.3755,1.3445,46.6,83.4,1.3855,33.25,32.18,17869.5,1.0842,68.875,6.8283,7.7505,,46.76,90.41,1162.9,114.465,1429.5,3.3915,1.3676,47.13,83.57,1.3908,33.325,32.404,17873.5,1.0699,68.7,6.8253,7.7495,,46.19,89.47,1150.85,114.4,1422.5,3.3725,1.3423,46.5,83.08,1.385,33.24,32.115,17850.0,1.0825,68.7,6.8261,7.7496,,46.67,90.29,1160.5,114.4,1427.5,3.3855,1.3643,46.97,83.45,1.3903,33.32,32.235,17867.0
2009-11-16,1.0673,68.825,6.827000000000001,7.7501,,46.005,89.03,1150.5,114.375,1427.5,3.3675,1.3359999999999999,46.65,83.5,1.3838,33.195,32.05,17871.5,1.0736,69.195,6.8287,7.7503,,46.295,89.71,1158.4,114.475,1432.5,3.3765,1.3523,46.98,83.6,1.3867,33.27,32.31,17875.5,1.0629,68.7,6.8253,7.7495,,45.985,88.76,1150.5,114.3,1422.5,3.3555,1.3282,46.4,83.07,1.3834,33.185,32.05,17850.0,1.0705,68.7,6.8287,7.75,,46.135,89.64,1154.3,114.45,1427.5,3.3725,1.3446,46.88,83.3,1.3845,33.25,32.17,17869.0
2009-11-17,1.0743,68.875,6.8265,7.7501,,46.225,89.25,1155.1,114.26,1427.5,3.3675,1.3409,46.6,83.5,1.3856,33.195,32.14,17868.0,1.0825,69.195,6.8278,7.7502,,46.39,89.53,1157.1,114.26,1434.5,3.3695,1.3499,46.92,83.65,1.3884,33.205,32.168,17876.0,1.0661,68.7,6.8260000000000005,7.7495,,45.775,88.73,1148.5,114.2,1427.5,3.3525,1.3321,46.47,83.1,1.3817,33.165,31.99,17850.0,1.0663,68.7,6.8275,7.7499,,45.905,89.03,1152.5,114.25,1432.5,3.3625,1.3355,46.55,83.4,1.3838,33.19,32.04,17868.0
2009-11-18,1.0756,68.775,6.827000000000001,7.75,,46.215,89.4,1154.0,114.25,1432.5,3.366,1.3401,46.7,83.2,1.3844,33.15,32.13,17925.0,1.0795,69.195,6.8277,7.7505,,46.305,89.49,1155.1,114.35,1437.0,3.3789999999999996,1.3457,46.87,83.66,1.3863,33.205,32.209,17974.0,1.0704,68.65,6.8254,7.7495,,46.065,89.02,1150.4,114.2,1427.5,3.36,1.3328,46.55,83.0,1.3822,33.105,32.02,17825.0,1.0741,68.75,6.8266,7.7499,,46.185,89.26,1155.1,114.3,1434.0,3.3665,1.3405,46.73,83.48,1.3855,33.2,32.14,17865.0
2009-11-19,1.0873,68.875,6.8285,7.75,,46.75,88.92,1162.5,114.26,1432.5,3.391,1.3668,47.2,83.5,1.389,33.18,32.39,17872.5,1.0953,69.195,6.8305,7.7505,,46.77,89.43,1162.5,114.27,1436.5,3.3965,1.3752,47.2,83.63,1.3924,33.205,32.4,17875.5,1.0747,68.65,6.8262,7.7495,,46.05,88.64,1152.85,114.2,1432.5,3.3655,1.3389,46.62,83.05,1.3843,33.145,32.05,17850.0,1.0759999999999998,68.65,6.8271,7.7499,,46.12,89.39,1154.5,114.23,1432.5,3.3655,1.3398,46.75,83.1,1.3847,33.15,32.11,17872.0
2009-11-20,1.092,68.875,6.8278,7.75,,46.575,88.89,1158.9,114.26,1432.5,3.3855,1.38,46.9,83.595,1.3889,33.22,32.385,17920.0,1.1037,68.875,6.8287,7.7505,,46.75,89.13,1169.4,114.29,1439.5,3.4045,1.3895,47.48,83.715,1.3913,33.27,32.4,17975.0,1.0848,68.75,6.8261,7.7495,,46.405,88.68,1158.45,114.2,1422.5,3.3825,1.3641,46.45,83.1,1.3868,33.165,32.23,17820.0,1.0871,68.75,6.8277,7.7497,,46.575,88.92,1162.5,114.25,1438.5,3.3915,1.3665,47.07,83.4,1.3891,33.18,32.37,17870.0
2009-11-23,1.0819,68.875,6.827999999999999,7.7495,,46.465,88.93,1152.25,114.55,1432.5,3.3745,1.3639,46.88,83.55,1.3859,33.205,32.215,17875.5,1.0974,69.195,6.8334,7.7507,,46.605,89.19,1162.15,114.6,1444.5,3.3895,1.3889,47.3,83.66,1.3887,33.27,32.395,17879.5,1.0775,68.65,6.827000000000001,7.749,,46.365,88.57,1151.45,114.1,1427.5,3.3715,1.3563,46.75,83.17,1.3833,33.19,32.214,17850.0,1.0924,68.75,6.8281,7.7495,,46.515,88.89,1158.65,114.25,1432.5,3.3865,1.3797,46.75,83.5,1.3882,33.22,32.305,17873.0
2009-11-24,1.0884,68.775,6.8295,7.75,,46.47,88.61,1154.95,114.4,1432.5,3.3785,1.3798,46.97,83.15,1.3857,33.22,32.21,17905.0,1.0953,69.195,6.8312,7.7504,,46.645,88.96,1159.55,114.51,1444.5,3.3965,1.385,47.25,83.65,1.3884,33.27,32.3,17980.0,1.08,68.65,6.827000000000001,7.7495,,46.28,88.36,1150.35,114.25,1427.5,3.3745,1.3619999999999999,46.8,83.05,1.3842,33.2,32.19,17805.0,1.0819,68.75,6.8311,7.7496,,46.33,88.93,1152.0,114.25,1442.0,3.3745,1.3635,46.87,83.45,1.3861,33.2,32.22,17877.0
2009-11-25,1.0729,68.775,6.8273,7.7502,,45.98,87.35,1154.0,114.45,1432.5,3.3715,1.3661,46.975,83.55,1.379,33.105,32.205,17841.0,1.0885,69.195,6.8294,7.7503,,46.38,88.64,1157.9,114.5,1447.5,3.3895,1.3795,47.085,83.65,1.3853,33.225,32.317,17926.0,1.0724,68.65,6.8263,7.7495,,45.98,87.21,1153.1,114.3,1427.5,3.3695,1.3630000000000002,46.59,83.05,1.3785,33.09,32.165,17685.0,1.0873,68.65,6.8281,7.7496,,46.35,88.61,1155.2,114.35,1432.5,3.3815,1.3776,46.96,83.05,1.3853,33.22,32.215,17881.0
2009-11-26,1.0954,68.775,6.829,7.7502,,46.675,85.15,1159.35,114.45,1432.5,3.391,1.3963,47.04,83.55,1.3875,33.105,32.265,18487.5,1.0995,69.195,6.8305,7.7507,,46.675,87.47,1162.6,114.53,1432.5,3.3939999999999997,1.403,47.25,83.65,1.3889,33.17,32.305,18497.5,1.0723,68.65,6.8261,7.7495,,45.845,84.86,1152.2,114.36,1432.5,3.3595,1.3626,46.48,83.1,1.3787,33.075,32.105,17805.0,1.0732,68.75,6.8305,7.75,,45.995,87.33,1154.7,114.45,1432.5,3.3665,1.3661,46.66,83.5,1.3787,33.11,32.175,18485.0
2009-11-27,1.1033,68.875,6.8284,7.7504,,46.465,86.54,1175.0,114.565,1432.5,3.391,1.4083,47.15,83.55,1.3888,33.25,32.32,18391.0,1.1178,68.875,6.8321,7.7506,,47.09,87.01,1177.4,114.605,1448.0,3.391,1.4234,47.3,83.6,1.3934,33.335,32.384,18597.0,1.093,68.65,6.827000000000001,7.7495,,46.385,85.1,1158.35,114.35,1432.5,3.391,1.3941,46.7,83.4,1.3857,33.095,32.205,17600.0,1.0931,68.65,6.8277,7.7497,,46.565,85.17,1158.35,114.45,1432.5,3.391,1.3947,46.7,83.45,1.3868,33.105,32.241,18487.0
2009-11-30,1.0924,68.875,6.8275,7.7499,,46.535,86.25,1163.4,114.41,1447.5,3.3948,1.3972,47.105,83.25,1.3821,33.225,32.235,18385.0,1.0994,68.875,6.8295,7.751,,46.56,86.86,1170.9,114.61,1448.5,3.4067,1.4047,47.455,83.55,1.3858,33.255,32.345,19110.0,1.0867,68.75,6.8265,7.7495,,46.195,85.87,1157.9,114.35,1427.5,3.3818,1.3841,46.94,83.15,1.3815,33.18,32.115,18000.0,1.0952,68.75,6.8285,7.7496,,46.445,86.64,1170.0,114.4,1432.5,3.3967,1.3996,47.2,83.45,1.3844,33.22,32.315,19000.0
2009-12-01,1.0806,68.775,6.827999999999999,7.7498,,46.254,86.65,1156.0,114.41,1447.5,3.3803,1.3767,47.15,83.55,1.3805,33.165,32.135,19200.0,1.0983,69.195,6.8287,7.7503,,46.492,87.53,1165.9,114.41,1451.5,3.3948,1.3998,47.34,83.8,1.3855,33.245,32.275,19250.0,1.0783,68.65,6.8262,7.749,,46.163999999999994,86.31,1155.0,114.37,1427.5,3.3783,1.3699,46.65,83.15,1.3796,33.165,32.115,18000.0,1.0917,68.75,6.8281,7.7496,,46.343999999999994,86.31,1163.4,114.37,1447.5,3.3948,1.3966,47.24,83.15,1.3821,33.225,32.145,19000.0
2009-12-02,1.081,68.875,6.827000000000001,7.7498,,46.225,87.64,1153.0,114.15,1447.5,3.3765,1.3849,46.2,83.65,1.3802,33.15,32.14,18381.0,1.0835,69.195,6.8281,7.7503,,46.405,87.68,1160.3,114.45,1455.5,3.3803,1.3880000000000001,46.8,83.71,1.3815,33.165,32.21,18592.0,1.0754,68.65,6.8259,7.749,,46.025,86.6,1153.0,114.05,1432.5,3.3718,1.3697,46.05,83.25,1.3791,33.085,32.08,18276.0,1.0808,68.65,6.827000000000001,7.7496,,46.145,86.65,1159.0,114.4,1447.5,3.3748,1.3772,46.65,83.4,1.3805,33.165,32.13,18476.0
2009-12-03,1.0813,68.875,6.827000000000001,7.75,,46.025,88.28,1150.5,114.25,1454.5,3.3705,1.3842,46.2,83.45,1.3818,33.11,32.115,18382.0,1.0816,69.195,6.8275,7.7506,,46.325,88.48,1158.2,114.37,1458.5,3.3810000000000002,1.3867,46.7,83.76,1.3827,33.15,32.235,19251.0,1.072,68.65,6.8254,7.7495,,46.025,87.6,1148.5,114.15,1432.5,3.3705,1.3686,46.1,83.25,1.3786,33.07,32.055,18281.0,1.0807,68.75,6.8263,7.7496,,46.125,87.64,1149.5,114.2,1447.5,3.3775,1.3839,46.51,83.55,1.3802,33.15,32.135,19150.0
2009-12-04,1.0919,68.875,6.8266,7.75,,46.175,90.54,1151.5,114.35,1454.5,3.3805,1.3942,46.04,83.65,1.3893,33.16,32.2,18380.5,1.0981,68.875,6.8285,7.7505,,46.315,90.77,1154.0,114.4,1460.5,3.388,1.4018,46.62,83.72,1.3897,33.21,32.22,18580.5,1.0757,68.65,6.8262,7.7495,,45.885,88.0,1150.0,114.25,1453.5,3.3745,1.3746,45.85,83.22,1.3807,33.1,32.1,18280.0,1.0827,68.75,6.8275,7.7496,,45.955,88.25,1150.0,114.3,1456.5,3.3745,1.3856,46.3,83.3,1.3817,33.11,32.16,18471.0
2009-12-07,1.0962,68.925,6.8294,7.7502,,46.465,89.32,1157.5,114.45,1462.5,3.3975,1.403,46.125,83.8,1.3896,33.15,32.315,18374.0,1.1046,69.255,6.831,7.7507,,46.635,90.19,1160.0,114.53,1464.5,3.3995,1.4121,46.475,84.3,1.3924,33.18,32.315,18579.0,1.088,68.75,6.8264,7.7495,,46.025,89.1,1150.9,114.3,1452.5,3.3845,1.3889,46.0,83.55,1.3871,33.115,32.135,18269.0,1.0952,68.75,6.8267,7.7495,,46.155,90.08,1155.9,114.45,1454.5,3.3845,1.3976,46.25,83.55,1.3886,33.16,32.165,18469.0
2009-12-08,1.1061,68.925,6.8276,7.7503,,46.625,88.41,1156.22,114.25,1458.5,3.3945,1.4148,46.2,84.0,1.3944,33.18,32.228,18850.0,1.1086,69.195,6.8293,7.7508,,46.78,89.44,1162.0,114.43,1465.5,3.3995,1.4192,46.2,84.31,1.3949,33.18,32.326,18850.0,1.0909,68.8,6.8261,7.7496,,46.265,88.19,1154.8,114.15,1432.5,3.3865,1.3933,45.85,83.35,1.3879,33.14,32.147,18450.0,1.0955,68.8,6.8292,7.7497,,46.345,89.35,1161.5,114.2,1462.5,3.3965,1.4021,46.07,83.65,1.3897,33.14,32.236,18600.0
2009-12-09,1.1004,69.025,6.8276,7.7505,,46.535,88.1,1160.5,114.225,1457.5,3.3985,1.3913,46.32,84.1,1.3908,33.13,32.255,18750.0,1.1092,69.285,6.8293,7.751,,46.89,88.67,1165.2,114.275,1465.5,3.4125,1.4195,46.42,84.46,1.3947,33.195,32.345,18800.0,1.097,68.65,6.8256,7.7498,,46.525,87.38,1159.0,114.15,1432.5,3.3975,1.3864,45.9,83.85,1.3893,33.08,32.205,18268.0,1.105,68.8,6.8269,7.7498,,46.545,88.42,1161.4,114.25,1458.5,3.3995,1.4132,45.9,83.95,1.3944,33.18,32.205,18700.0
2009-12-10,1.0905,69.025,6.8276,7.7504,,46.525,88.26,1165.5,114.3,1457.5,3.3975,1.3731,46.145,84.15,1.3895,33.12,32.295,18374.0,1.1014,69.305,6.8304,7.7509,,46.755,88.45,1166.6,114.38,1466.5,3.403,1.3923,46.345,84.48,1.3916,33.14,32.35,18855.0,1.0878,68.65,6.8265,7.7498,,46.385,87.74,1158.3,114.15,1437.5,3.3925,1.3652,45.95,83.87,1.3879,33.1,32.21,18269.0,1.1004,68.9,6.8279,7.7501,,46.535,88.1,1162.0,114.2,1457.5,3.403,1.3908,45.95,84.0,1.3903,33.13,32.26,18469.0
2009-12-11,1.0962,68.775,6.8276,7.7502,,46.48,89.11,1164.0,114.35,1457.5,3.3995,1.3780000000000001,46.05,84.1,1.3918,33.115,32.177,18376.5,1.1,69.035,6.8289,7.7513,,46.61,89.8,1168.2,114.4,1464.5,3.405,1.385,46.42,84.28,1.3939,33.13,32.312,18802.5,1.0871,68.65,6.8266,7.7498,,46.38,88.29,1160.8,114.25,1437.5,3.3955,1.3702,45.95,83.8,1.3884,33.085,32.103,18274.0,1.09,68.9,6.8273,7.7499,,46.46,88.29,1166.0,114.3,1464.5,3.4015,1.3712,46.01,83.95,1.3895,33.12,32.213,18700.0
