,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
Currency,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,1.3332,80.645,6.9031,7.7703,13286.5,64.605,110.94,1143.47,151.68,2431.0,4.4355,1.4364,49.593999999999994,104.84,1.4051,34.62,30.645,22685.0,1.3381,80.835,6.915,7.7719,13329.5,64.61,111.58,1144.82,151.68,2435.0,4.4415,1.4451,49.903,104.94,1.4083,34.68,30.709,22760.0,1.3316,80.465,6.9031,7.7683,13276.5,64.325,110.78,1136.99,151.68,2427.0,4.4355,1.4351,49.508,104.83,1.4040000000000001,34.58,30.546,22685.0,1.3323,80.475,6.9093,7.7684,13326.5,64.325,111.09,1137.92,151.68,2429.0,4.4375,1.4386,49.821999999999996,104.94,1.4048,34.62,30.595,22757.0
2017-04-11,1.3335,80.645,6.8923,7.7711,13281.5,64.555,109.62,1145.63,152.265,2413.0,4.4335,1.4368,49.562,104.705,1.4038,34.55,30.647,22655.0,1.338,81.125,6.9068,7.7724,13291.5,64.695,110.97,1150.61,152.415,2423.0,4.4375,1.4438,49.776,104.835,1.4082,34.65,30.703000000000003,22672.0,1.3302,80.645,6.891,7.7695,13271.5,64.41,109.6,1141.17,151.685,2413.0,4.4315,1.4355,49.538999999999994,104.705,1.4022,34.51,30.525,22612.0,1.3332,80.645,6.9018,7.7703,13271.5,64.575,110.94,1143.47,151.935,2423.0,4.4355,1.4369999999999998,49.607,104.835,1.4051,34.61,30.644000000000002,22657.0
2017-04-12,1.3296,81.045,6.8915,7.7713,13275.0,64.69,109.03,1134.95,152.175,2429.0,4.4275,1.4349,49.345,104.8,1.395,34.4,30.395,22672.5,1.3382,81.325,6.9019,7.7721,13301.0,64.73,109.89,1150.3,152.575,2433.0,4.4355,1.4476,49.71,104.91,1.4046,34.57,30.701,22676.5,1.3275,80.645,6.8902,7.7701,13266.0,64.535,108.96,1134.49,151.745,2419.0,4.4275,1.4331,49.343999999999994,104.8,1.3947,34.39,30.364,22622.5,1.3332,80.655,6.8918,7.7709,13286.0,64.625,109.63,1145.63,152.095,2421.0,4.4345,1.4369999999999998,49.644,104.91,1.4039,34.55,30.645,22672.5
2017-04-13,1.3213,81.025,6.89,7.774,13256.5,64.445,109.09,1136.32,152.12,2406.0,4.4125,1.4289,49.49,104.845,1.3982,34.37,30.32,22680.0,1.33,81.095,6.8925,7.7768,13267.5,64.493,109.41,1138.9,152.12,2412.0,4.4275,1.4365,49.55,104.965,1.3995,34.46,30.468000000000004,22770.0,1.3159999999999998,80.945,6.8765,7.7706,13246.5,64.27199999999999,108.72,1126.19,152.12,2406.0,4.4125,1.4252,49.244,104.845,1.3929,34.29,30.195,22680.0,1.3294,81.045,6.8925,7.7711,13251.5,64.455,109.02,1134.95,152.12,2412.0,4.4265,1.435,49.42,104.965,1.3953,34.4,30.401,22720.0
2017-04-14,1.3198,81.005,6.8854,7.7729,13256.5,64.48,108.64,1136.45,152.055,2404.0,4.4075,1.4288,49.505,104.825,1.3978,34.35,30.388,22787.5,1.324,81.095,6.8893,7.7751,13256.5,64.48,109.25,1142.08,152.205,2407.0,4.4115,1.4316,49.588,104.895,1.3994,34.41,30.459,22787.5,1.3186,80.925,6.8821,7.7721,13256.5,64.443,108.55,1135.4,152.055,2402.0,4.3985,1.4255,49.43899999999999,104.775,1.3964,34.29,30.276999999999997,22667.5,1.3219,81.095,6.8884,7.7741,13256.5,64.443,109.09,1136.33,152.205,2406.0,4.4115,1.4288,49.455,104.895,1.3984,34.38,30.322,22717.5
2017-04-17,1.3175,81.09,6.8823,7.7724,13285.5,64.48,108.91,1133.02,151.895,2401.0,4.4045,1.4269999999999998,49.56,104.87,1.3982,34.29,30.345,22725.0,1.3215,81.95,6.8916,7.7744,13285.5,64.55,109.06,1139.62,152.445,2407.0,4.4055,1.4296,49.645,104.93,1.3983,34.44,30.409000000000002,22765.0,1.3139,81.09,6.8783,7.7717,13252.5,64.305,108.12,1131.41,151.695,2401.0,4.4015,1.4217,49.407,104.85,1.393,34.2,30.245,22712.0,1.3212,81.23,6.8825,7.7739,13252.5,64.44,108.67,1136.34,152.045,2405.0,4.4045,1.4281,49.525,104.93,1.3973,34.36,30.401,22715.0
2017-04-18,1.3227,81.775,6.8819,7.7736,13296.5,64.605,108.42,1142.64,151.985,2407.5,4.4105,1.4199,49.626000000000005,104.83,1.3959,34.33,30.401,22715.0,1.3272,82.135,6.8951,7.7764,13301.5,64.655,109.23,1148.82,152.505,2407.5,4.4105,1.4288,49.803000000000004,104.92,1.4002,34.45,30.502,22805.0,1.3159,81.005,6.8806,7.7721,13276.5,64.485,108.31,1132.49,151.985,2395.5,4.4035,1.4192,49.489,104.83,1.3954,34.26,30.265,22715.0,1.3181,81.005,6.8841,7.7722,13276.5,64.515,108.92,1133.01,152.205,2399.5,4.4035,1.4281,49.532,104.92,1.3982,34.28,30.354,22800.0
2017-04-19,1.3338,81.895,6.888,7.7743,13296.5,64.665,108.86,1143.69,152.255,2410.0,4.4,1.4278,49.791000000000004,104.83,1.3986,34.4,30.415,22739.0,1.3352,82.225,6.8892,7.7766,13296.5,64.665,109.19,1144.65,152.585,2415.0,4.4085,1.4295,49.858000000000004,105.02,1.3993,34.44,30.474,22780.0,1.3221,81.665,6.877000000000001,7.7736,13296.5,64.525,108.36,1137.81,152.165,2404.0,4.3965,1.4179,49.586999999999996,104.83,1.3946,34.26,30.345,22705.0,1.3223,81.735,6.8798,7.7737,13296.5,64.575,108.42,1142.64,152.385,2404.0,4.4075,1.4199,49.641999999999996,104.95,1.3959,34.33,30.408,22780.0
2017-04-20,1.3285,82.795,6.8822,7.7748,13323.5,64.62,109.32,1138.12,152.26,2417.0,4.398,1.4261,49.818999999999996,104.795,1.3979,34.39,30.404,22730.0,1.3348,82.845,6.8933,7.7763,13336.5,64.727,109.49,1145.31,153.1,2419.0,4.4055,1.4288,49.901,104.795,1.3991,34.43,30.493000000000002,22777.0,1.3244,81.895,6.8819,7.7736,13315.5,64.536,108.7,1135.57,152.26,2416.0,4.395,1.4176,49.693000000000005,104.695,1.3954,34.31,30.354,22730.0,1.3338,81.945,6.8883,7.7743,13321.5,64.64,108.85,1143.69,152.7,2417.0,4.4015,1.4280000000000002,49.748999999999995,104.795,1.3982,34.39,30.414,22772.0
2017-04-21,1.3257,82.815,6.8859,7.7752,13320.0,64.65,109.08,1134.57,152.45,2422.0,4.399,1.4219,49.84,104.8,1.3969,34.36,30.37,22722.5,1.3307,82.845,6.8861,7.7774,13324.0,64.69,109.44,1140.9,153.1,2424.0,4.399,1.4322,49.905,104.9,1.3991,34.45,30.419,22812.5,1.3243,82.795,6.8789,7.7746,13312.0,64.565,108.86,1132.9,152.1,2415.0,4.39,1.4207,49.681999999999995,104.8,1.3957,34.32,30.255,22722.5,1.3283,82.795,6.8814,7.7752,13321.0,64.66,109.33,1138.11,152.1,2415.0,4.398,1.4263,49.81399999999999,104.8,1.3979,34.4,30.404,22797.5
