,,ADF Statistic,P - Value,Lag
Close_Ret,BDT,-17.853819949,3.07208741958e-30,7
Close_Ret,CNY,-8.94107198842,9.25021248832e-15,19
Close_Ret,HKD,-22.1239644977,0.0,6
Close_Ret,IDR,,,
Close_Ret,INR,-21.4228598161,0.0,4
Close_Ret,JPY,-50.9388073002,0.0,0
Close_Ret,KRW,-52.6733690271,0.0,0
Close_Ret,LKR,-6.91709509216,1.17187698637e-09,27
Close_Ret,MNT,-25.5285952202,0.0,2
Close_Ret,MYR,-18.2647129038,2.32682915637e-30,6
Close_Ret,NZD,-52.5377476547,0.0,0
Close_Ret,PHP,-26.8372174435,0.0,3
Close_Ret,PKR,-7.85508431559,5.46997405945e-12,25
Close_Ret,SGD,-31.2735579316,0.0,2
Close_Ret,THB,-48.747317341,0.0,0
Close_Ret,TWD,-38.2982773609,0.0,1
Close_Ret,VND,-54.4617632642,0.0,0
Open_Ret_MA_3,AUD,-9.40752450232,5.95589614957e-16,27
Open_Ret_MA_3,BDT,-8.15695278666,9.36416201922e-13,27
Open_Ret_MA_3,CNY,-6.99034597436,7.77408918738e-10,28
Open_Ret_MA_3,HKD,-9.89563735735,3.46400739037e-17,28
Open_Ret_MA_3,IDR,,,
Open_Ret_MA_3,INR,-8.9992935652,6.56374227164e-15,28
Open_Ret_MA_3,JPY,-8.81236741411,1.9755040205e-14,27
Open_Ret_MA_3,KRW,-9.37541216299,7.18961085456e-16,27
Open_Ret_MA_3,LKR,-7.07769376457,4.75468915907e-10,28
Open_Ret_MA_3,MNT,-8.07288373962,1.53268907934e-12,27
Open_Ret_MA_3,MYR,-7.76718551201,9.12179468235e-12,27
Open_Ret_MA_3,NZD,-9.9029950983,3.31959331727e-17,27
Open_Ret_MA_3,PHP,-9.29980359481,1.12043174889e-15,27
Open_Ret_MA_3,PKR,-7.77710472229,8.61085161682e-12,28
Open_Ret_MA_3,SGD,-8.98698136675,7.05758545206e-15,27
Open_Ret_MA_3,THB,-8.09932077071,1.31280546267e-12,28
Open_Ret_MA_3,TWD,-8.06319353789,1.62216877956e-12,28
Open_Ret_MA_3,VND,-9.17244925008,2.36828068459e-15,27
Open_Ret_MA_15,AUD,-8.71461580571,3.51569559248e-14,21
