,,,ADF Statistic,P - Value,Lag
Intraday_HL,CNY,SZSE Component,,,
Intraday_HL,CNY,Shanghai,-4.22327889793,0.0006016000511,28
Intraday_HL,HKD,Hang Seng,-6.54086150949,9.35460526557e-09,20
Intraday_HL,IDR,IDX Composite,-7.20632625201,2.29517922368e-10,14
Intraday_HL,INR,BSE Sensex,,,
Intraday_HL,INR,Nifty 50,-6.60063912576,6.74969212538e-09,16
Intraday_HL,JPY,Nikkei 225,-7.7006864535,1.34187259076e-11,13
Intraday_HL,KRW,KOSPI,-8.24912470676,5.45114913187e-13,9
Intraday_HL,KRW,KOSPI 50,,,
Intraday_HL,LKR,CSE All-Share,-5.96165405804,2.03232206661e-07,16
Intraday_HL,MNT,MNE Top 20,,,
Intraday_HL,MYR,KLCI,,,
Intraday_HL,NZD,NZX 50,-13.6416316411,1.64887488326e-25,6
Intraday_HL,NZD,NZX MidCap,-17.9621544788,2.81449160618e-30,3
Intraday_HL,PHP,PSEi Composite,,,
Intraday_HL,PKR,Karachi 100,-9.57328047382,2.25819332169e-16,9
Intraday_HL,SGD,STI Index,,,
Intraday_HL,THB,SET,-6.41899269276,1.81119942419e-08,19
Intraday_HL,TWD,TPEx 50,,,
Intraday_HL,TWD,Taiwan Weighted,,,
Intraday_HL,USD,Dow 30,-6.05054855898,1.28069708153e-07,12
Intraday_HL,USD,Nasdaq,-7.27906971452,1.51713203269e-10,12
Intraday_HL,USD,Nasdaq 100,-7.44564159196,5.84832630912e-11,12
Intraday_HL,USD,S&P 500,-6.66981147279,4.61829754621e-09,12
Intraday_HL,VND,HNX 30,,,
Intraday_HL,VND,VN 30,-4.34905729752,0.000364902780787,13
Prev_close_open,AUD,S&P/ASX 200,-24.0128507317,0.0,4
Prev_close_open,BDT,DSE 30,,,
Prev_close_open,CNY,SZSE Component,,,
Prev_close_open,CNY,Shanghai,-8.41245258659,2.08610428068e-13,25
Prev_close_open,HKD,Hang Seng,-23.8200162721,0.0,4
Prev_close_open,IDR,IDX Composite,-16.8859328547,1.05410152716e-29,6
Prev_close_open,INR,BSE Sensex,,,
Prev_close_open,INR,Nifty 50,-25.8050979533,0.0,3
Prev_close_open,JPY,Nikkei 225,-23.9412627427,0.0,4
Prev_close_open,KRW,KOSPI,-11.1550214253,2.88026175387e-20,20
Prev_close_open,KRW,KOSPI 50,,,
Prev_close_open,LKR,CSE All-Share,-34.4982320014,0.0,1
Prev_close_open,MNT,MNE Top 20,,,
Prev_close_open,MYR,KLCI,,,
Prev_close_open,NZD,NZX 50,,,
Prev_close_open,NZD,NZX MidCap,,,
Prev_close_open,PHP,PSEi Composite,,,
Prev_close_open,PKR,Karachi 100,-27.9939959675,0.0,1
Prev_close_open,SGD,STI Index,,,
Prev_close_open,THB,SET,-22.8463363855,0.0,4
Prev_close_open,TWD,TPEx 50,,,
Prev_close_open,TWD,Taiwan Weighted,,,
Prev_close_open,USD,Dow 30,-9.64207890815,1.51148077917e-16,27
Prev_close_open,USD,Nasdaq,-28.6619086858,0.0,3
Prev_close_open,USD,Nasdaq 100,-28.7443276188,0.0,3
Prev_close_open,USD,S&P 500,-11.9183283996,5.10197156246e-22,20
Prev_close_open,VND,HNX 30,,,
Prev_close_open,VND,VN 30,-14.0017530034,3.8508860541e-26,12
Open_Ret,AUD,S&P/ASX 200,-19.9990719599,0.0,6
Open_Ret,BDT,DSE 30,,,
Open_Ret,CNY,SZSE Component,,,
Open_Ret,CNY,Shanghai,-10.2030440393,5.9014369451e-18,23
Open_Ret,HKD,Hang Seng,-48.7063174577,0.0,0
Open_Ret,IDR,IDX Composite,-29.2171657426,0.0,3
Open_Ret,INR,BSE Sensex,,,
Open_Ret,INR,Nifty 50,-16.786546153,1.25186627122e-29,9
Open_Ret,JPY,Nikkei 225,-50.1783334126,0.0,0
Open_Ret,KRW,KOSPI,-14.7368042802,2.60783144487e-27,11
Open_Ret,KRW,KOSPI 50,,,
Open_Ret,LKR,CSE All-Share,-12.9817395014,2.93398589985e-24,9
Open_Ret,MNT,MNE Top 20,,,
Open_Ret,MYR,KLCI,,,
Open_Ret,NZD,NZX 50,-23.5281776139,0.0,4
Open_Ret,NZD,NZX MidCap,-14.2943538883,1.25985451538e-26,9
Open_Ret,PHP,PSEi Composite,,,
Open_Ret,PKR,Karachi 100,-45.3327514618,0.0,0
Open_Ret,SGD,STI Index,,,
Open_Ret,THB,SET,-49.7554500635,0.0,0
Open_Ret,TWD,TPEx 50,,,
Open_Ret,TWD,Taiwan Weighted,,,
Open_Ret,USD,Dow 30,-24.8412684463,0.0,4
Open_Ret,USD,Nasdaq,-25.1622540134,0.0,4
Open_Ret,USD,Nasdaq 100,-25.0288985365,0.0,4
Open_Ret,USD,S&P 500,-25.0439189262,0.0,4
Open_Ret,VND,HNX 30,,,
Open_Ret,VND,VN 30,-33.3104193962,0.0,1
High_Ret,AUD,S&P/ASX 200,-24.0590508028,0.0,4
High_Ret,BDT,DSE 30,,,
High_Ret,CNY,SZSE Component,,,
High_Ret,CNY,Shanghai,-10.0559584121,1.37291971266e-17,22
High_Ret,HKD,Hang Seng,-45.4945267471,0.0,0
High_Ret,IDR,IDX Composite,-19.4404519831,0.0,6
High_Ret,INR,BSE Sensex,,,
High_Ret,INR,Nifty 50,-44.9143034855,0.0,0
High_Ret,JPY,Nikkei 225,-44.7466383013,0.0,0
High_Ret,KRW,KOSPI,-23.3163019941,0.0,4
High_Ret,KRW,KOSPI 50,,,
High_Ret,LKR,CSE All-Share,-12.1217564493,1.81850248521e-22,11
High_Ret,MNT,MNE Top 20,,,
High_Ret,MYR,KLCI,,,
High_Ret,NZD,NZX 50,-41.6785231128,0.0,0
High_Ret,NZD,NZX MidCap,-31.1111179183,0.0,1
High_Ret,PHP,PSEi Composite,,,
High_Ret,PKR,Karachi 100,-25.9881620816,0.0,2
High_Ret,SGD,STI Index,,,
High_Ret,THB,SET,-43.1314637968,0.0,0
High_Ret,TWD,TPEx 50,,,
High_Ret,TWD,Taiwan Weighted,,,
High_Ret,USD,Dow 30,-43.8288004685,0.0,0
High_Ret,USD,Nasdaq,-43.9604604834,0.0,0
High_Ret,USD,Nasdaq 100,-44.2915062371,0.0,0
High_Ret,USD,S&P 500,-10.7847315204,2.20902987602e-19,26
High_Ret,VND,HNX 30,,,
High_Ret,VND,VN 30,-22.185938756,0.0,4
Low_Ret,AUD,S&P/ASX 200,-25.1312177274,0.0,4
Low_Ret,BDT,DSE 30,,,
Low_Ret,CNY,SZSE Component,,,
Low_Ret,CNY,Shanghai,-10.4923541577,1.13836604018e-18,23
