,Pair,Model,Transformation,Shuffle,Poly,MSE,R2
2939,"('PKR', 'Karachi 100')",LassoLars,RobustScaler,False,False,1.363288135428467,-0.01711661513157492
2940,"('PKR', 'Karachi 100')",LassoLars,Normalizer,True,True,0.9982828084713419,-0.0017014231699887805
2941,"('PKR', 'Karachi 100')",LassoLars,Normalizer,True,False,0.9992298074212091,-0.012247336135460474
2942,"('PKR', 'Karachi 100')",LassoLars,Normalizer,False,True,1.0218538313495225,-0.04054358216100162
2943,"('PKR', 'Karachi 100')",LassoLars,Normalizer,False,False,1.0218538313495225,-0.04054358216100162
2944,"('PKR', 'Karachi 100')",LassoLars,QuantileTransformer,True,True,0.09034691676299153,-0.0003128016804163636
2945,"('PKR', 'Karachi 100')",LassoLars,QuantileTransformer,True,False,0.07400247120912688,-0.0008230007444798293
2946,"('PKR', 'Karachi 100')",LassoLars,QuantileTransformer,False,True,0.10615377349815082,-0.03016144347539651
2947,"('PKR', 'Karachi 100')",LassoLars,QuantileTransformer,False,False,0.10615377349815082,-0.03016144347539651
2948,"('PKR', 'Karachi 100')",LassoLars,PowerTransformer,True,True,1.2239447004675565,-0.030995760721347132
2949,"('PKR', 'Karachi 100')",LassoLars,PowerTransformer,True,False,0.9473396756794022,-0.0004552116677407625
2950,"('PKR', 'Karachi 100')",LassoLars,PowerTransformer,False,True,1.596477984751572,-0.013587894885594087
2951,"('PKR', 'Karachi 100')",LassoLars,PowerTransformer,False,False,1.596477984751572,-0.013587894885594087
2952,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,,True,True,9.793731499153379e-05,-0.21024669815154562
2953,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,,True,False,8.31685184783312e-05,0.07241805482077435
2954,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,,False,True,0.0001388133697116827,-0.1551727730260979
2955,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,,False,False,0.00011828609199220625,0.01565048683090109
2956,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MinMaxScaler,True,True,0.011438236289766823,-0.12268012535630457
2957,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MinMaxScaler,True,False,0.010146677282608804,0.0462506231498937
2958,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MinMaxScaler,False,True,0.016504643243036236,-0.1551727730260981
2959,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MinMaxScaler,False,False,0.014063989318890684,0.015650486830900978
2960,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MaxAbsScaler,True,True,0.04619595206290466,-0.12626550852203144
2961,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MaxAbsScaler,True,False,0.04240061595522267,-0.0003501728107637714
2962,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MaxAbsScaler,False,True,0.06410929055659507,-0.15517277302609744
2963,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,MaxAbsScaler,False,False,0.054629013445051985,0.0156504868309012
2964,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,StandardScaler,True,True,0.9491062078160504,-0.09140747925442283
2965,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,StandardScaler,True,False,1.1338956248219427,-0.020965704839512656
2966,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,StandardScaler,False,True,1.7734293623256707,-0.15517277302609767
2967,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,StandardScaler,False,False,1.5111802928596387,0.01565048683090131
2968,"('PKR', 'Karachi 100')",OrthogonalMatchingPursuit,RobustScaler,True,True,0.9988007694132124,-0.1271490163973381
