,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
2013-09-02,5188.3,1527.82,8243.58,2098.45,22175.34,4101.23,18886.13,5550.75,13572.92,1924.81,1645.54,5782.72,,1717.56,4596.36,2744.69,6061.8,21724.68,3055.72,1323.7,,8038.86,14828.047499999999,3606.925,3087.2725,1638.07,,528.7475,5191.1,1527.82,8269.82,2108.68,22240.04,4206.95,18942.06,5564.9,13613.48,1932.46,1656.95,5842.36,,1724.76,4596.73,2745.45,6115.68,22130.87,3057.16,1323.7,,8052.71,14912.0725,3633.24,3108.175,1648.5324999999998,,532.6325,5126.6,1527.82,8148.17,2078.46,21948.72,4061.64,18678.93,5478.85,13407.53,1921.01,1644.47,5782.72,,1714.95,4530.52,2718.24,6019.02,21679.3,3032.1,1296.35,,7993.13,14773.6975,3590.4775,3073.6150000000002,1632.0700000000002,,523.9075,5135.0,1527.82,8214.94,2104.09,21948.72,4196.72,18691.83,5480.25,13438.07,1925.32,1653.01,5834.4,,1723.77,4540.97,2720.03,6073.22,22130.87,3037.59,1298.99,,8010.15,14812.1875,3622.3775,3097.03,1636.685,,529.335,634127680.0,0.0,13654.0,14915900416.0,1813180032.0,3556624384.0,10734.0,214232000.0,112595.0,243988992.0,26786.0,25618940.0,,93071800.0,27951830.0,9074080.0,48637.0,0.0,151340992.0,7850955776.0,,1807201.0,140857228.0,399714648.0,168877252.0,0.0,,11312.25
2013-09-03,5196.6,1552.2,8368.04,2123.11,22394.58,4164.01,18234.66,5341.45,13978.44,1933.74,1647.48,5752.36,,1724.21,4606.71,2742.56,6083.91,21808.48,3054.78,1315.41,,8088.37,14833.96,3612.61,3091.76,1639.77,,527.92,5207.7,1552.2,8374.31,2123.85,22456.8,4172.32,19007.31,5580.95,13978.44,1940.99,1658.67,5786.55,,1727.94,4611.1,2745.93,6083.91,22082.81,3062.79,1334.15,,8102.66,14933.35,3637.06,3112.42,1651.35,,533.1,5187.7,1552.2,8245.01,2095.45,22290.83,4110.16,18166.17,5323.75,13748.68,1928.09,1643.01,5746.58,,1715.98,4588.05,2739.96,6044.15,21634.83,3049.33,1312.63,,8067.62,14777.48,3593.62,3077.13,1633.41,,525.96,5188.3,1552.2,8257.46,2100.45,22323.0,4112.63,19002.77,5574.7,13748.68,1934.24,1654.55,5786.46,,1718.35,4596.36,2744.69,6057.52,21698.48,3050.12,1323.11,,8095.66,14801.55,3622.64,3097.65,1635.95,,531.15,724788608.0,0.0,14233.0,13889300480.0,1948189952.0,3977986048.0,19374.0,250299008.0,162430.0,300060000.0,32874.0,35808536.0,,132452496.0,31061256.0,11225779.0,39082.0,0.0,185068992.0,8755503104.0,,2107406.0,142526304.0,411222304.0,173023216.0,0.0,,10047.0
2013-09-04,5161.6,1546.53,8344.96,2127.62,22326.22,4073.45,18567.55,5448.1,14053.87,1933.03,1647.89,5744.89,,1716.76,4610.31,2737.6,5968.33,21875.83,3015.42,1303.21,,8083.44,14930.87,3649.04,3124.54,1653.08,,525.66,5196.6,1546.53,8400.81,2133.0,22438.4,4144.62,18612.6,5460.25,14056.88,1938.26,1654.54,5767.34,,1725.55,4617.76,2745.25,6092.45,21964.66,3041.55,1319.14,,8094.12,14956.74,3651.78,3128.8,1655.72,,530.5,5152.7,1546.53,8330.52,2115.75,22142.99,4069.7,18188.43,5318.9,13843.61,1921.93,1635.7,5742.92,,1702.57,4603.88,2736.45,5936.82,21770.33,3015.42,1301.37,,8041.49,14799.09,3612.22,3092.96,1637.41,,522.86,5196.6,1546.53,8354.49,2121.68,22171.93,4143.74,18314.68,5358.65,13875.17,1929.6,1641.68,5753.57,,1725.55,4606.71,2742.56,6088.13,21856.38,3040.16,1310.97,,8066.67,14832.42,3619.05,3100.28,1640.72,,528.07,702483648.0,0.0,14195.0,14200000512.0,3996450048.0,4620103680.0,14387.0,237230000.0,138420.0,284191008.0,31490.0,32393820.0,,149800304.0,58894652.0,24890746.0,48214.0,0.0,254306000.0,5752956928.0,,2034088.0,122148896.0,428667456.0,176499776.0,0.0,,14798.0
2013-09-05,5142.5,1545.49,8286.06,2122.43,22597.97,4050.86,18979.76,5592.95,14064.82,1951.65,1665.46,5686.99,,1720.97,4604.35,2736.21,5959.22,22451.46,3039.45,1313.49,,8169.1,14937.48,3658.78,3129.94,1655.08,,531.71,5172.1,1545.49,8364.07,2127.86,22682.94,4123.73,19117.52,5625.75,14156.5,1954.21,1669.49,5748.25,,1723.69,4611.19,2741.78,6007.11,22503.89,3057.18,1326.56,,8169.1,14987.47,3665.01,3138.06,1659.17,,531.9,5116.4,1545.49,8274.19,2115.24,22486.63,4015.44,18847.02,5552.7,13981.52,1937.82,1653.34,5686.99,,1718.56,4587.44,2732.29,5896.96,21920.76,3029.41,1306.48,,8107.22,14923.27,3651.17,3125.38,1653.07,,523.91,5161.6,1545.49,8352.0,2125.25,22538.96,4094.15,18857.6,5553.75,14140.2,1943.66,1659.7,5745.31,,1719.1,4610.31,2737.6,5967.16,21964.12,3031.41,1309.03,,8109.24,14929.49,3652.44,3127.07,1653.28,,526.61,650101952.0,0.0,10703.0,12654399488.0,2145319936.0,3881655040.0,13765.0,274937984.0,146622.0,286744000.0,46924.0,21957302.0,,120043600.0,37710680.0,11906968.0,67578.0,0.0,211894000.0,6175585792.0,,2419349.0,101007600.0,337416896.0,126320240.0,0.0,,11932.0
2013-09-06,5145.0,1537.0425,8280.33,2139.99,22621.22,4072.35,19270.06,5680.4,13860.81,1955.31,1672.58,5672.64,,1723.8,4597.18,2732.72,5974.62,22765.87,3048.35,1336.25,,8164.2,14922.5,3660.01,3133.38,1655.17,,534.8,5156.9,1537.0425,8354.31,2143.24,22699.59,4072.35,19293.96,5688.6,14099.13,1962.15,1678.82,5700.58,,1726.28,4616.04,2744.24,6006.38,22839.62,3051.34,1337.03,,8182.56,15009.84,3677.07,3148.99,1664.83,,535.44,5115.1,1537.0425,8256.11,2119.02,22578.33,4012.68,18929.38,5566.15,13834.52,1949.01,1663.5,5668.01,,1719.83,4590.64,2730.97,5958.16,22491.18,3036.01,1312.92,,8155.5,14789.4,3618.77,3098.02,1640.62,,529.48,5142.5,1537.0425,8277.14,2119.33,22615.98,4058.46,19072.02,5617.45,14088.41,1954.11,1668.39,5683.39,,1719.97,4604.35,2736.21,5958.16,22491.18,3045.12,1315.57,,8180.53,14941.55,3672.82,3140.98,1657.44,,532.8,628791424.0,0.0,10259.0,14326099968.0,1960760064.0,3292601600.0,15617.0,253031008.0,139861.0,324987008.0,35811.0,21319610.0,,128068200.0,60549544.0,19138692.0,55163.0,0.0,204616992.0,6017560064.0,,2418384.0,108414200.0,390497472.0,165224592.0,0.0,,14582.0
2013-09-09,5181.5,1511.7,8504.74,2212.52,22750.65,4191.26,19815.34,5842.6625,14205.23,1974.67,1691.92,5605.26,,1747.03,4614.02,2728.99,5997.04,22838.84,3088.2,1384.31,,8192.11,15063.12,3706.18,3169.93,1671.71,,524.17,5181.5,1511.7,8537.92,2218.53,22853.02,4191.26,19833.0075,5850.7875,14251.46,1974.67,1691.92,5677.19,,1747.03,4618.52,2733.6,6037.19,22997.94,3093.41,1384.31,,8192.11,15088.41,3708.42,3174.87,1672.4,,534.22,5145.0,1511.7,8319.1,2151.35,22680.63,4102.42,19315.84,5695.1875,14117.68,1962.62,1679.67,5605.26,,1726.27,4594.96,2722.77,5981.27,22768.84,3071.32,1352.85,,8117.87,14927.19,3675.12,3146.02,1656.85,,523.38,5145.0,1511.7,8334.42,2151.35,22770.25,4105.94,19354.2975,5708.2375,14141.67,1964.09,1680.81,5671.79,,1726.27,4597.18,2732.72,5981.27,22768.84,3072.35,1353.35,,8176.47,14927.19,3675.12,3146.02,1656.85,,534.22,543698112.0,0.0,22766.0,21942700032.0,1922620032.0,4167493376.0,17216.0,269690752.0,173546.0,270736992.0,40811.0,21319610.0,,144055696.0,38460864.0,18129834.0,72599.0,0.0,232008992.0,10607006720.0,,2156521.0,90662496.0,351954112.0,132553648.0,0.0,,13465.0
2013-09-10,5201.2,1517.88,8636.63,2237.98,22976.65,4358.14,19997.1,5896.75,14423.36,1994.06,1713.95,5667.33,,1764.95,4627.76,2725.21,6089.72,22992.17,3123.89,1393.17,,8208.77,15191.06,3729.02,3185.07,1683.99,,530.19,5212.4,1517.88,8636.63,2238.55,22988.81,4358.14,20012.69,5904.85,14441.81,1994.06,1713.95,5683.09,,1774.14,4637.41,2734.58,6131.21,23091.65,3125.5,1413.98,,8238.91,15192.13,3729.38,3189.24,1684.09,,530.59,5181.5,1517.88,8498.38,2202.82,22842.88,4225.8,19444.66,5738.2,14296.78,1974.59,1695.14,5604.59,,1753.14,4613.02,2723.22,6018.83,22901.69,3093.95,1384.47,,8155.87,15067.23,3716.44,3173.11,1674.32,,525.8,5181.5,1517.88,8535.54,2214.81,22932.6,4226.14,19448.39,5738.5,14318.72,1978.08,1695.14,5605.37,,1753.14,4614.02,2728.99,6018.83,22901.69,3109.83,1395.3,,8217.21,15067.23,3724.67,3186.53,1674.32,,525.8,549095872.0,0.0,23439.0,23720699904.0,2241120000.0,6772690432.0,17749.0,275244000.0,209898.0,264328000.0,42369.0,27861908.0,,217580800.0,40038704.0,15325602.0,100421.0,0.0,257072992.0,15941145600.0,,2388622.0,103197296.0,403549024.0,145531968.0,0.0,,9287.0
2013-09-11,5234.4,1515.51,8675.62,2241.27,22937.14,4349.42,19997.45,5913.15,14425.07,2003.85,1719.61,5730.21,,1768.48,4634.9,2726.81,6214.9,23231.68,3108.19,1411.18,,8208.99,15326.6,3725.01,3179.86,1689.13,,531.91,5234.4,1515.51,8722.39,2258.07,23120.46,4404.74,20055.53,5924.35,14561.46,2003.85,1719.61,5730.21,,1776.11,4635.35,2726.98,6215.37,23261.63,3136.53,1411.61,,8208.99,15326.6,3726.59,3180.37,1689.13,,534.42,5201.2,1515.51,8622.26,2233.0,22848.53,4289.81,19777.63,5832.7,14422.72,1987.4,1705.4,5667.25,,1763.05,4616.07,2717.27,6115.33,22948.26,3099.14,1381.12,,8137.07,15194.13,3704.22,3159.31,1678.7,,528.89,5201.2,1515.51,8636.71,2244.96,23095.86,4377.1,19999.77,5887.25,14511.74,1995.96,1714.42,5667.64,,1769.8,4627.76,2725.21,6115.33,23016.75,3133.46,1395.8,,8174.54,15194.13,3710.79,3163.77,1681.04,,531.43,693858752.0,0.0,30887.0,24434900992.0,2000940032.0,5191052288.0,15714.0,265007008.0,169995.0,299412000.0,34200.0,30667118.0,,169404000.0,42662688.0,19398786.0,104550.0,0.0,182646000.0,12220154880.0,,2169080.0,102087200.0,382308832.0,150837424.0,0.0,,12176.0
2013-09-12,5242.5,1509.43,8714.88,2255.6,22953.72,4356.6,19781.88,5850.7,14387.27,2004.06,1716.15,5744.5,,1772.4,4641.5,2734.26,6195.61,23222.21,3121.08,1397.9,,8225.36,15300.64,3715.97,3175.57,1683.42,,531.17,5252.1,1509.43,8766.35,2270.27,23048.22,4372.1,20052.05,5932.0,14455.37,2017.48,1730.23,5744.5,,1779.4,4643.72,2738.0,6259.75,23379.7,3130.66,1422.19,,8226.61,15345.32,3731.84,3186.3,1689.97,,532.6,5228.9,1509.43,8627.81,2226.29,22908.99,4318.6,19676.49,5815.8,14321.57,1995.16,1708.58,5725.64,,1769.75,4632.24,2726.81,6174.77,23167.36,3116.51,1397.9,,8177.03,15283.26,3713.08,3170.14,1681.96,,529.62,5234.4,1509.43,8648.66,2236.17,22952.85,4331.29,20046.05,5931.15,14397.9,2004.67,1719.13,5729.47,,1777.76,4634.9,2726.81,6216.84,23243.68,3123.37,1414.44,,8180.38,15327.14,3724.53,3179.6,1689.21,,530.21,745320704.0,0.0,21366.0,20971499520.0,1626680064.0,4487173120.0,11884.0,272987008.0,118414.0,359256000.0,47871.0,23307748.0,,128670304.0,45138240.0,17532732.0,85697.0,0.0,381192992.0,8432019968.0,,2168249.0,99758200.0,350675680.0,132127208.0,0.0,,8242.0
2013-09-13,5219.6,1512.8925,8687.54,2236.22,22915.28,4375.54,19732.76,5850.6,14404.67,1994.32,1707.71,5749.46,,1770.8,4650.94,2733.0,6133.24,23168.04,3120.3,1401.08,,8168.2,15376.06,3722.18,3178.28,1687.99,,531.21,5242.5,1512.8925,8766.7,2259.42,22956.77,4375.54,19899.37,5884.3,14439.93,2004.87,1715.93,5769.85,,1770.8,4658.33,2738.16,6154.98,23268.04,3136.04,1413.28,,8228.67,15380.97,3724.73,3182.11,1688.73,,532.8,5208.2,1512.8925,8676.59,2228.48,22790.78,4318.22,19675.68,5822.9,14233.12,1992.26,1704.78,5739.8,,1764.13,4639.12,2731.86,6079.02,23139.61,3111.37,1387.86,,8162.14,15312.86,3701.88,3161.65,1682.22,,529.08,5242.5,1512.8925,8709.05,2251.46,22920.76,4338.79,19744.54,5828.0,14316.7,1994.95,1707.22,5744.4,,1768.39,4641.5,2734.26,6154.98,23223.68,3133.54,1389.62,,8210.15,15312.86,3723.27,3180.45,1685.04,,530.09,655170432.0,0.0,15511.0,17198399488.0,1579270016.0,3870630912.0,10573.0,190768000.0,180668.0,253920000.0,30194.0,51324088.0,,100178496.0,47284164.0,17044744.0,128977.0,0.0,287086016.0,7847069184.0,,1606322.0,90895000.0,307638944.0,124398944.0,0.0,,11459.0
2013-09-16,5248.0,1523.28,8659.0,2231.4,23252.41,4522.24,19742.47,5840.55,14334.92,2013.37,1731.89,5730.12,,1773.905,4693.62,2748.85,6302.71,23242.68,3179.48,1445.11,,8255.34,15494.78,3717.85,3168.69,1697.6,,531.99,5266.1,1523.28,8722.49,2248.47,23268.15,4522.24,20086.43,5957.25,14465.880000000001,2018.02,1731.89,5755.43,,1778.8025,4696.13,2754.51,6315.62,23323.67,3181.72,1445.18,,8255.34,15549.87,3756.24,3204.59,1704.95,,534.87,5219.6,1523.28,8627.32,2226.17,23173.84,4403.4,19596.15,5798.15,14292.032500000001,2004.45,1721.84,5706.46,,1767.8725,4648.47,2732.04,6130.85,23083.24,3147.21,1428.87,,8189.61,15381.36,3712.47,3163.13,1691.7,,529.56,5219.6,1523.28,8706.38,2244.46,23210.36,4403.4,19977.38,5930.3,14421.9175,2011.69,1725.14,5751.46,,1775.1550000000002,4650.94,2733.0,6130.85,23175.56,3151.4,1429.89,,8189.61,15381.36,3755.0,3203.19,1691.7,,532.54,499429408.0,0.0,14719.0,15488400384.0,1448450048.0,5450444288.0,11166.0,219456000.0,136115.75,248500992.0,30915.0,24096850.0,,129449280.0,35376352.0,14198638.0,125465.0,0.0,320816000.0,10021178368.0,,1894792.0,105735000.0,350891872.0,139275392.0,0.0,,16669.0
2013-09-17,5251.2,1508.15,8493.78,2185.56,23180.52,4517.62,19804.03,5850.2,14311.67,2005.58,1720.61,5705.26,,1774.94,4698.03,2752.32,6344.14,23066.5,3180.92,1443.78,,8249.78,15529.73,3745.7,3190.83,1704.76,,535.8,5263.4,1508.15,8652.5,2230.93,23246.91,4536.93,19819.1,5857.8,14474.53,2009.31,1726.92,5736.72,,1781.47,4701.56,2754.96,6344.14,23380.36,3188.7,1450.45,,8249.78,15555.07,3747.08,3195.15,1705.52,,536.65,5227.6,1508.15,8493.66,2184.92,23127.87,4479.3,19635.44,5804.9,14311.67,1994.31,1711.42,5705.26,,1769.12,4684.3,2747.99,6305.73,23013.02,3176.75,1435.91,,8218.94,15503.15,3724.26,3176.58,1697.73,,532.82,5248.0,1508.15,8652.5,2230.39,23246.91,4518.26,19721.9,5824.2,14456.99,2009.31,1726.92,5730.93,,1777.41,4693.62,2748.85,6305.73,23279.42,3183.81,1444.05,,8241.03,15503.15,3725.31,3177.78,1697.73,,532.82,585160960.0,0.0,15104.0,15454300160.0,1388460032.0,5181907968.0,9935.0,157939008.0,121265.0,264662000.0,32870.0,27885688.0,,139206208.0,45434152.0,14874355.0,121555.0,0.0,202910000.0,8463589888.0,,1632520.0,104479800.0,335968576.0,136326192.0,0.0,,14217.0
