,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret,Sentiment,Close,Close_Ret,Sentiment
Currency,LKR,LKR,,PKR,PKR,,BDT,BDT,,MNT,MNT,
Idx,CSE All-Share,CSE All-Share,,Karachi 100,Karachi 100,,,,,,,
13-02-2013,5827.02,-0.001348615,1,17696.45,0.004150233,1,79.01,0,0,1387.5,0,0
14-02-2013,5825.29,-0.001486321,0,17765.82,0.004110439,1,79.01,0,0,1387.5,0,0
15-02-2013,5830.26,-0.000333754,0,17797.22,0.003505564,1,78.945,-0.000822681,0,1387.5,0,0
18-02-2013,5774.59,-0.002997392,0,17865.61,0.003176723,1,78.945,0,0,1384.5,-0.002162162,0
19-02-2013,5737.48,-0.005040571,0,17817.71,0.000976348,1,78.945,0,0,1380.5,-0.00288913,0
20-02-2013,5730.54,-0.00572816,0,17947.07,0.002807266,1,78.945,0,0,1379.5,-0.000724375,0
21-02-2013,5726.11,-0.002803024,0,17921.02,0.001042524,1,78.945,0,0,1378.5,-0.0007249,0
22-02-2013,5735.61,-0.000107858,0,18074.27,0.004786704,1,78.915,-0.000380011,0,1375.5,-0.002176279,0
25-02-2013,5686.0125,-0.002587092,0,18020.5,0.001374991,1,78.91,-6.34E-05,0,1385.5,0.007270084,1
26-02-2013,5669.48,-0.0032986,0,17894.89,-0.000464644,1,78.86,-0.000633633,0,1401.5,0.011548178,1
27-02-2013,5674.47,-0.003558238,0,18080.9,0.000149748,1,78.85,-0.000126807,0,1399.5,-0.001427042,1
28-02-2013,5635.9,-0.002941511,0,18173.67,0.002851674,1,78.85,0,0,1397.5,-0.001429082,1
01-03-2013,5652.69,-0.000979281,0,18185.19,0.005386433,1,78.85,0,0,1395.5,-0.001431127,0
04-03-2013,5631.89,-0.00249922,0,18133.13,0.000967315,1,78.85,0,0,1394.5,-0.000716589,0
05-03-2013,5626.77,-0.000536552,0,18035.97,-0.002529011,1,78.81,-0.000507292,0,1399.5,0.003585515,1
06-03-2013,5663.36,0.000638023,0,18000.45,-0.003396772,0,79.1,0.003679736,1,1397.5,-0.001429082,1
07-03-2013,5680.02,0.00284515,1,17992.91,-0.002582142,0,79.1,0,1,1394.5,-0.002146691,1
08-03-2013,5691.39,0.003815438,1,17964.18,-0.001328339,0,78.74,-0.004551201,0,1392.5,-0.001434206,0
11-03-2013,5677.31,0.000823186,1,17522.56,-0.008866328,0,78.74,0,0,1394.5,0.001436266,0
12-03-2013,5704.32,0.001428459,1,17872.85,-0.002063102,0,78.715,-0.000317501,0,1390.5,-0.002868412,0
13-03-2013,5685.82,-0.000319845,1,17760.44,-0.003627331,0,78.615,-0.001270406,0,1387.5,-0.002157497,0
14-03-2013,5688.98,0.000690049,1,17740.69,0.00419645,0,78.615,0,0,1380.5,-0.005045045,0
15-03-2013,5704.53,1.53E-05,1,17664.83,-0.003892498,0,78.615,0,0,1395.5,0.010865628,1
18-03-2013,5708.01,0.001299722,1,17492,-0.005057305,0,78.545,-0.000890415,0,1394.5,-0.000716589,1
19-03-2013,5722.86,0.001981668,1,17693.37,-0.000849258,0,78.35,-0.002482653,0,1392.5,-0.001434206,1
